79	84	75	16	77	86	91	18	89	122	147	20	281	364	167	22	379	366	169	24	369	172	31	26	29	
74	15	78	85	92	17	88	121	146	19	280	363	166	21	426	365	168	23	378	367	170	25	28	173	32	
83	80	93	76	87	98	107	90	123	148	165	282	425	362	475	468	427	380	433	370	377	368	171	30	27	
14	73	82	97	106	111	124	145	120	279	424	361	476	499	466	511	474	469	428	381	432	371	376	33	174	
81	94	101	110	99	108	119	126	149	164	283	498	465	512	519	500	467	510	473	434	429	382	431	372	375	
72	13	96	105	112	125	144	163	278	423	360	477	520	501	576	513	518	503	470	509	472	435	374	175	34	
95	102	113	100	109	118	127	150	359	284	497	464	577	572	521	502	575	514	523	504	439	430	383	436	373	
12	71	104	117	128	143	162	277	422	463	478	571	496	585	574	603	522	517	508	471	524	505	438	35	176	
103	114	129	136	153	134	151	358	285	420	495	578	573	606	587	584	515	612	601	550	507	440	525	384	437	
70	11	116	133	142	161	276	421	462	479	570	493	586	583	604	613	602	595	516	611	600	549	506	177	36	
115	130	137	154	135	152	357	286	419	494	579	538	605	588	607	594	623	610	615	596	551	598	441	526	385	
10	69	132	141	160	275	246	461	480	539	492	569	582	593	622	609	614	591	624	599	616	553	548	37	178	
131	138	155	234	245	356	287	418	291	564	537	580	561	608	589	592	625	620	617	552	597	442	527	386	407	
68	9	140	159	274	247	292	481	460	491	540	563	568	581	560	621	590	557	544	619	554	547	408	179	38	
139	156	233	244	235	288	355	290	417	484	565	536	541	562	567	558	543	618	555	546	443	528	403	406	387	
8	67	158	259	248	273	322	293	482	459	490	485	566	559	542	533	556	545	444	529	404	409	390	39	180	
157	232	243	236	271	294	289	354	323	416	483	456	535	532	487	446	451	530	449	410	391	402	405	388	333	
66	7	258	249	260	307	272	321	296	353	458	489	486	455	534	531	448	445	452	401	340	389	334	181	40	
231	62	229	242	237	270	295	308	305	324	415	352	457	488	447	398	453	450	411	392	335	214	341	332	205	
6	65	238	257	250	261	306	269	320	297	318	347	414	397	454	349	412	393	400	339	342	331	206	41	182	
63	230	61	228	241	256	299	266	309	304	325	396	351	348	413	394	399	338	343	330	213	336	215	204	191	
60	5	64	239	262	251	268	255	298	319	310	317	346	395	350	315	344	329	212	337	216	207	192	183	42	
55	2	225	58	227	240	265	300	267	254	303	326	311	316	345	328	211	200	217	208	197	186	203	190	193	
4	59	56	53	224	263	252	51	222	301	312	49	220	327	314	47	218	209	198	45	202	195	188	43	184	
1	54	3	226	57	52	223	264	253	50	221	302	313	48	219	210	199	46	201	196	187	44	185	194	189	
