98	39	42	9	106	103	44	11	142	117	46	13	120	17	48	15	
41	8	97	102	43	10	105	116	45	12	141	118	47	14	121	18	
38	99	40	107	104	115	134	143	140	157	132	127	160	119	16	49	
7	96	101	114	135	144	139	156	133	188	161	158	131	128	19	122	
100	37	108	95	112	153	146	187	202	155	216	189	126	159	50	129	
93	6	113	136	145	138	201	154	215	190	235	162	241	130	123	20	
36	109	94	111	152	147	186	203	234	217	242	239	236	125	164	51	
5	92	87	148	137	200	151	214	191	238	233	246	163	240	21	124	
86	35	110	91	150	185	192	231	204	243	218	237	254	245	52	165	
75	4	149	88	179	90	199	194	213	232	251	244	247	166	253	22	
34	85	76	83	184	193	182	205	230	219	224	227	252	255	248	53	
3	74	67	178	89	180	195	198	223	212	229	250	167	226	23	256	
66	33	84	77	82	183	206	181	210	197	220	225	228	249	54	171	
71	2	73	68	177	78	81	196	207	222	211	168	173	170	57	24	
32	65	70	79	30	63	176	209	28	61	174	221	26	59	172	55	
1	72	31	64	69	80	29	62	175	208	27	60	169	56	25	58	
