108	19	320	317	110	21	322	331	112	23	364	359	114	25	190	521	116	27	186	173	118	29	150	155	120	31	134	137	122	33	126	129	
319	316	109	20	321	330	111	22	365	358	113	24	375	522	115	26	191	520	117	28	185	172	119	30	149	136	121	32	133	128	123	34	
18	107	318	329	334	323	366	357	332	363	374	523	360	189	704	741	758	187	192	519	174	151	156	171	154	141	148	135	138	125	130	127	
315	326	335	324	367	356	333	378	373	524	361	376	703	740	759	188	775	742	757	184	193	518	175	152	157	170	159	140	143	132	35	124	
106	17	328	355	336	379	372	393	362	377	702	739	760	705	774	769	836	833	776	743	756	183	194	517	176	153	142	147	160	139	144	131	
327	314	325	368	353	390	383	380	525	392	603	706	771	768	837	834	847	872	859	832	777	744	755	182	169	158	177	164	167	146	161	36	
16	105	354	337	382	371	394	391	602	701	738	761	838	773	770	875	886	835	848	871	858	831	516	195	746	181	168	197	178	163	166	145	
313	338	369	352	389	384	381	526	395	604	707	772	767	876	885	846	873	906	887	860	849	778	745	754	515	196	747	180	165	198	37	162	
104	15	340	385	370	397	388	601	700	737	762	839	884	845	874	905	888	935	870	857	830	861	850	779	790	753	514	781	748	179	512	199	
339	312	351	398	387	600	527	396	605	708	735	766	877	902	889	936	949	904	907	934	867	856	829	862	851	780	789	752	513	782	749	38	
14	103	386	341	400	623	606	699	736	763	840	883	844	893	950	903	938	953	948	869	908	933	866	855	828	791	852	795	788	751	200	511	
311	342	399	350	599	528	621	624	709	734	765	878	901	890	937	984	951	972	939	954	947	868	909	932	863	854	827	792	783	794	39	750	
102	13	344	401	622	607	698	619	764	841	882	843	894	983	892	971	1006	985	952	973	940	955	946	865	826	911	824	853	796	787	510	201	
343	310	349	598	529	620	625	662	733	710	879	900	891	970	981	986	991	1002	1007	1018	957	944	941	910	931	864	801	786	793	784	797	40	
12	101	402	345	608	627	618	697	712	881	842	895	982	899	990	1005	1008	1017	1000	1003	974	1019	956	945	942	825	912	823	802	507	202	509	
309	348	571	530	597	534	661	626	663	732	711	880	969	980	987	992	1001	1004	1009	1020	1023	958	943	960	913	930	805	800	785	798	41	466	
100	11	346	403	572	609	628	617	696	713	896	967	898	989	994	997	1016	999	1024	975	1010	961	1022	929	806	915	822	803	506	467	508	203	
347	308	531	570	533	596	535	660	629	664	731	814	923	968	979	988	993	996	1015	1012	1021	928	959	914	821	804	505	468	799	456	465	42	
10	99	404	421	536	573	610	595	616	695	714	897	966	815	924	995	998	1013	976	927	962	1011	820	807	916	723	478	503	464	469	204	455	
307	406	419	532	569	422	567	582	659	630	665	730	813	922	965	978	817	926	963	1014	819	808	917	724	679	504	471	480	457	476	43	462	
98	9	306	405	420	537	574	611	594	615	694	715	690	729	816	925	964	977	818	809	918	725	680	493	722	479	502	477	470	463	454	205	
287	94	407	418	423	568	581	566	583	658	631	666	693	812	921	728	687	810	919	726	681	672	721	678	501	472	481	458	475	438	461	44	
8	97	288	305	414	565	538	575	612	593	614	691	716	689	684	811	920	727	682	673	720	677	494	641	492	499	474	439	460	453	206	269	
95	286	93	408	417	424	415	580	563	584	657	632	667	692	717	688	683	686	719	676	671	642	491	500	473	482	459	452	437	270	45	254	
92	7	96	289	304	413	564	539	576	613	592	585	656	649	668	685	718	653	670	643	674	495	640	483	498	451	436	271	440	255	268	207	
85	72	285	90	409	416	425	562	579	540	577	650	633	646	655	652	669	644	675	552	639	490	497	450	435	272	441	256	267	240	253	46	
6	91	86	83	290	303	412	299	426	561	586	591	648	651	634	645	654	553	638	489	496	449	484	273	442	257	266	241	252	231	208	221	
73	84	71	284	89	410	291	302	541	578	543	558	635	590	647	554	637	488	551	448	485	274	443	434	265	242	251	258	239	222	47	232	
70	5	74	87	82	283	300	411	298	427	560	587	544	557	636	589	548	555	486	275	444	433	264	243	250	259	238	223	230	233	220	209	
65	2	63	68	77	88	81	292	301	542	295	428	559	588	547	556	487	550	447	432	263	246	249	260	237	226	229	234	219	212	215	48	
4	69	66	75	62	79	282	297	60	293	280	545	58	429	278	549	56	431	276	445	54	261	244	247	52	235	224	227	50	217	210	213	
1	64	3	78	67	76	61	80	281	296	59	294	279	546	57	430	277	446	55	262	245	248	53	236	225	228	51	218	211	214	49	216	
