200	79	82	17	202	215	84	19	236	233	86	21	282	317	88	23	286	313	90	25	290	309	92	27	294	305	94	29	298	33	96	31	
81	16	201	208	83	18	235	228	85	20	281	318	87	22	285	366	89	24	289	442	91	26	293	520	93	28	297	694	95	30	301	34	
78	199	80	203	214	227	216	237	234	255	232	283	356	365	316	287	314	441	312	291	310	519	308	295	306	693	304	299	302	695	32	97	
15	204	209	218	207	238	229	254	231	280	355	360	319	284	367	440	447	288	443	518	563	292	521	692	713	296	701	772	765	300	35	696	
198	77	206	213	226	217	240	279	256	321	276	357	364	387	446	315	444	449	466	311	522	565	562	307	702	771	764	303	700	769	98	767	
205	14	219	210	239	224	253	230	277	354	361	320	359	368	439	448	467	458	517	564	561	704	691	712	763	714	793	770	773	766	697	36	
76	197	212	225	222	241	278	257	322	275	358	369	388	363	386	445	450	465	468	523	566	559	706	703	792	761	774	779	796	699	768	99	
13	220	189	244	211	252	223	262	259	336	353	362	385	452	411	438	457	516	459	560	705	690	711	762	715	794	797	800	775	778	37	698	
188	75	196	221	242	245	258	323	274	261	370	389	410	437	456	451	464	469	524	567	558	707	688	709	760	791	780	795	814	799	100	777	
175	12	243	190	251	194	263	260	337	352	335	384	453	412	463	470	483	460	515	602	689	710	719	716	781	786	813	798	801	776	815	38	
74	187	176	195	246	249	324	273	334	371	390	409	436	455	482	461	514	525	568	557	664	687	708	759	718	783	790	821	812	817	802	101	
11	174	191	250	193	264	247	338	351	394	383	454	413	462	471	484	569	556	603	576	601	720	717	782	787	820	785	818	803	822	39	816	
184	73	186	177	248	325	272	333	372	391	408	435	472	481	528	513	526	575	600	665	686	663	758	741	784	789	882	823	886	811	102	805	
173	10	183	192	265	178	339	350	395	382	393	414	487	512	485	570	555	604	577	662	721	684	743	788	881	824	819	810	903	804	887	40	
72	185	172	179	326	271	332	373	392	407	434	473	480	529	554	527	574	599	666	685	726	723	740	757	742	883	902	885	888	907	806	103	
9	182	169	266	171	340	349	396	381	474	415	488	511	486	571	580	605	578	661	722	683	744	725	880	825	900	889	906	809	904	41	908	
168	71	180	327	270	331	374	347	406	433	510	479	530	553	584	573	598	667	672	727	724	739	756	891	878	915	884	901	920	909	104	807	
181	8	267	170	341	348	397	380	475	416	489	508	583	572	581	606	579	660	669	682	745	828	879	826	899	890	917	926	905	808	921	42	
70	167	328	269	330	375	346	405	432	509	478	531	552	585	622	597	668	673	728	671	738	755	892	877	916	927	914	919	924	961	910	105	
7	268	163	342	165	398	379	476	417	490	507	586	533	582	607	636	659	670	681	746	829	842	827	898	937	918	925	960	913	922	43	962	
162	69	166	329	376	345	404	431	494	477	532	551	608	623	596	621	674	729	752	737	754	893	876	841	928	951	936	923	966	963	106	911	
157	6	343	164	399	378	421	418	491	506	587	534	595	620	637	658	635	680	747	830	843	840	929	938	897	948	967	964	959	912	995	44	
68	161	158	377	344	403	430	495	420	493	550	609	624	645	634	675	730	751	736	753	894	875	896	947	952	935	950	969	1024	965	1010	107	
5	156	151	400	159	422	419	492	505	588	535	594	619	638	657	646	679	748	831	844	839	930	939	934	949	968	1019	958	1011	994	45	996	
150	67	160	155	402	429	496	539	536	549	610	625	644	633	676	731	832	735	750	859	874	895	946	953	984	957	970	1023	1014	1021	108	1009	
139	4	401	152	423	154	427	504	589	538	593	618	639	656	647	678	749	858	845	838	931	940	933	944	971	1018	987	1020	993	1012	997	46	
66	149	140	147	428	497	540	537	548	611	626	643	632	677	732	833	734	837	860	873	862	945	954	983	956	985	992	1013	1022	1015	1008	109	
3	138	131	424	153	426	503	590	543	592	617	640	655	642	653	648	857	846	855	850	941	932	943	972	991	988	1017	986	1007	1002	47	998	
130	65	148	141	146	541	498	547	502	627	612	631	616	649	834	733	836	851	868	861	872	863	978	955	982	973	1006	989	1016	999	110	1003	
135	2	137	132	425	142	145	542	591	544	501	628	641	654	615	652	847	856	849	854	867	942	871	864	977	990	981	974	1001	1004	113	48	
64	129	134	143	62	127	546	499	60	125	630	613	58	123	650	835	56	121	852	869	54	119	866	979	52	117	976	1005	50	115	1000	111	
1	136	63	128	133	144	61	126	545	500	59	124	629	614	57	122	651	848	55	120	853	870	53	118	865	980	51	116	975	112	49	114	
